# LAMMPS data
228 atoms
7 atom types

0 bonds
0 bond types  # defined bond types: , detected bond types: 

0.0 12.4  xlo xhi
0.0 12.4  ylo yhi
0.0 11.8  zlo zhi
0.0 0.0 0.0 xy xz yz

Masses

1  1.008        # H
2 12.010700     # C
3 14.0067       # N
4 15.999        # O
5 32.06         # S
6 18.998403163  # F
7 35.45         # Cl

Atoms

1	4	4.7	0.89	3.69	# O
2	1	5.35	1.1	3.02	# H
3	1	3.82	1.1	3.38	# H
4	4	10.86	2.51	5.45	# O
5	1	11.24	2.69	6.32	# H
6	1	10.21	1.81	5.52	# H
7	4	10.54	7.97	9.4	# O
8	1	10.68	7.97	10.35	# H
9	1	10.87	7.15	9.03	# H
10	4	4.07	5.34	7.53	# O
11	1	4.43	4.61	7.02	# H
12	1	4.29	6.17	7.11	# H
13	4	1.22	7.68	3.33	# O
14	1	1.66	6.95	3.76	# H
15	1	0.3	7.46	3.17	# H
16	4	9.09	6.11	0.4	# O
17	1	8.83	6.52	1.23	# H
18	1	10.02	5.88	0.44	# H
19	4	10.71	2.21	10.14	# O
20	1	11.17	1.38	10.23	# H
21	1	9.88	2.08	9.68	# H
22	4	6.07	5.49	3.78	# O
23	1	6.25	5.6	2.84	# H
24	1	6.71	4.88	4.15	# H
25	4	10.76	6.4	6.05	# O
26	1	11.27	7.01	5.5	# H
27	1	9.83	6.46	5.81	# H
28	4	2.54	2.07	0.47	# O
29	1	1.76	2.07	1.02	# H
30	1	3.12	1.35	0.72	# H
31	4	10.35	5.43	8.92	# O
32	1	10.26	5.3	7.97	# H
33	1	10.04	6.31	9.15	# H
34	4	4.13	8.83	7.63	# O
35	1	4.83	8.37	7.15	# H
36	1	4.13	8.55	8.54	# H
37	4	9.6	8.22	5.95	# O
38	1	9.59	8.16	6.91	# H
39	1	8.71	8.1	5.62	# H
40	4	2.13	8.28	10.06	# O
41	1	2.83	8.37	10.72	# H
42	1	1.54	9.03	10.11	# H
43	2	7.5	6.65	6.06	# C
44	1	8.08	5.82	6.4	# H
45	1	7.7	7.51	6.67	# H
46	1	7.77	6.88	5.04	# H
47	1	6.46	6.41	6.1	# H
48	2	7.54	9.86	8.95	# C
49	1	8.06	8.97	9.24	# H
50	1	6.49	9.68	8.97	# H
51	1	7.78	10.65	9.64	# H
52	1	7.84	10.15	7.97	# H
53	2	3.08	5.05	4.11	# C
54	1	3.46	4.36	4.83	# H
55	1	2.61	5.87	4.62	# H
56	1	3.88	5.42	3.5	# H
57	1	2.36	4.56	3.49	# H
58	2	1.84	11.17	3.03	# C
59	1	2.72	10.75	3.47	# H
60	1	2.02	12.19	2.77	# H
61	1	1.59	10.62	2.15	# H
62	1	1.03	11.11	3.73	# H
63	2	1.4	9.43	5.78	# C
64	1	2.15	8.71	5.5	# H
65	1	0.79	9.03	6.56	# H
66	1	1.88	10.33	6.12	# H
67	1	0.79	9.65	4.93	# H
68	2	9.77	4.95	4.06	# C
69	1	10.66	4.38	4.22	# H
70	1	8.94	4.29	3.94	# H
71	1	9.6	5.59	4.9	# H
72	1	9.88	5.55	3.17	# H
73	2	10.34	1.94	2.11	# C
74	1	10.6	1.01	1.65	# H
75	1	11.23	2.52	2.27	# H
76	1	9.68	2.48	1.47	# H
77	1	9.86	1.76	3.05	# H
78	2	4.87	10.64	0.51	# C
79	1	3.86	10.59	0.17	# H
80	1	5.41	9.8	0.15	# H
81	1	5.32	11.54	0.15	# H
82	1	4.89	10.64	1.58	# H
83	2	7.6	5.42	8.98	# C
84	1	8.54	5.51	8.5	# H
85	1	6.97	6.23	8.69	# H
86	1	7.14	4.49	8.71	# H
87	1	7.74	5.45	10.04	# H
88	2	11.68	6.81	1.44	# C
89	1	11.83	6.0	0.75	# H
90	1	12.48	7.51	1.35	# H
91	1	10.75	7.3	1.21	# H
92	1	11.65	6.43	2.44	# H
93	2	10.67	11.57	8.22	# C
94	1	11.37	10.81	8.48	# H
95	1	10.0	11.73	9.05	# H
96	1	11.18	12.48	8.0	# H
97	1	10.1	11.26	7.37	# H
98	2	6.83	2.83	7.42	# C
99	1	6.0	2.23	7.13	# H
100	1	6.5	3.6	8.08	# H
101	1	7.56	2.22	7.92	# H
102	1	7.27	3.27	6.55	# H
103	2	5.75	7.6	0.96	# C
104	1	6.2	8.57	1.0	# H
105	1	4.83	7.65	0.42	# H
106	1	6.42	6.92	0.47	# H
107	1	5.56	7.25	1.95	# H
108	2	1.91	3.41	6.67	# C
109	1	2.41	4.29	7.0	# H
110	1	2.43	2.55	7.03	# H
111	1	0.91	3.4	7.04	# H
112	1	1.9	3.38	5.6	# H
113	2	6.21	3.2	1.55	# C
114	4	6.27	3.29	2.66	# O
115	2	8.1	1.01	10.95	# C
116	4	8.68	1.96	10.91	# O
117	2	10.21	10.92	0.01	# C
118	4	10.02	9.83	0.05	# O
119	2	4.89	3.51	10.49	# C
120	4	4.67	3.31	9.41	# O
121	2	1.12	3.46	2.45	# C
122	4	0.99	3.68	1.36	# O
123	2	9.04	0.23	5.22	# C
124	4	8.85	0.22	4.13	# O
125	2	6.11	11.13	5.35	# C
126	4	5.81	10.67	6.32	# O
127	2	3.7	11.27	8.57	# C
128	4	3.51	11.91	9.46	# O
129	2	1.7	6.39	7.39	# C
130	4	2.03	6.72	8.4	# O
131	2	9.35	8.33	2.86	# C
132	4	9.04	9.4	2.9	# O
133	2	0.9	11.21	10.26	# C
134	4	1.44	11.55	11.18	# O
135	2	1.35	2.58	9.82	# C
136	4	0.59	2.68	9.0	# O
137	2	2.63	5.56	0.63	# C
138	4	3.18	6.52	0.79	# O
139	2	4.47	7.74	4.6	# C
140	4	5.03	8.11	3.71	# O
141	3	3.92	1.4	6.59	# N
142	1	4.82	1.69	6.26	# H
143	1	3.9	1.43	7.59	# H
144	1	3.22	2.01	6.22	# H
145	3	9.44	4.57	10.93	# N
146	1	8.87	4.5	11.74	# H
147	1	9.86	5.48	10.89	# H
148	1	10.15	3.87	10.96	# H
149	3	5.59	7.1	10.29	# N
150	1	6.53	7.2	10.59	# H
151	1	5.31	7.92	9.78	# H
152	1	5.51	6.3	9.69	# H
153	3	7.57	11.43	1.97	# N
154	1	6.93	10.78	2.38	# H
155	1	7.42	12.34	2.36	# H
156	1	8.51	11.14	2.15	# H
157	3	11.34	11.05	4.51	# N
158	1	12.08	10.44	4.21	# H
159	1	10.58	10.5	4.86	# H
160	1	11.69	11.65	5.23	# H
161	3	7.08	0.21	7.78	# N
162	1	6.08	0.18	7.71	# H
163	1	7.46	0.5	6.91	# H
164	1	7.34	0.86	8.5	# H
165	3	9.03	4.03	1.19	# N
166	1	9.01	3.73	2.14	# H
167	1	8.64	3.31	0.61	# H
168	1	8.49	4.86	1.1	# H
169	3	7.96	2.74	4.46	# N
170	1	8.48	2.26	5.17	# H
171	1	8.38	3.63	4.29	# H
172	1	7.96	2.2	3.62	# H
173	3	1.01	6.36	10.66	# N
174	1	0.63	6.19	11.57	# H
175	1	1.94	6.71	10.76	# H
176	1	1.03	5.51	10.14	# H
177	3	1.99	8.69	0.98	# N
178	1	1.53	7.85	1.26	# H
179	1	1.57	9.47	1.45	# H
180	1	2.95	8.64	1.22	# H
181	3	7.99	8.1	10.94	# N
182	1	8.81	8.35	11.46	# H
183	1	8.07	7.16	10.6	# H
184	1	7.19	8.16	11.54	# H
185	3	0.46	1.23	4.26	# N
186	1	0.59	0.41	4.83	# H
187	1	1.17	1.9	4.5	# H
188	1	0.54	0.99	3.3	# H
189	3	7.41	10.57	11.65	# N
190	1	6.78	11.34	11.62	# H
191	1	6.94	9.74	11.34	# H
192	1	8.19	10.75	11.06	# H
193	3	9.3	4.52	7.0	# N
194	1	10.23	4.71	7.31	# H
195	1	8.99	3.65	7.39	# H
196	1	8.69	5.25	7.3	# H
197	1	4.44	11.98	6.71	# H
198	1	4.41	11.68	6.19	# H
199	1	3.62	2.44	3.15	# H
200	1	3.75	2.43	2.57	# H
201	1	4.07	3.61	6.5	# H
202	1	3.77	3.1	6.41	# H
203	1	7.64	7.91	8.03	# H
204	1	7.61	7.97	8.62	# H
205	1	5.09	9.85	10.2	# H
206	1	5.14	9.47	10.67	# H
207	1	7.82	4.15	3.25	# H
208	1	7.32	3.99	3.53	# H
209	1	0.63	11.32	1.09	# H
210	1	0.07	11.48	0.98	# H
211	1	3.64	2.94	4.48	# H
212	1	4.08	2.69	4.81	# H
213	1	8.75	0.45	1.36	# H
214	1	8.75	0.45	0.76	# H
215	1	1.59	5.54	2.79	# H
216	1	1.66	6.08	2.55	# H
217	1	10.55	6.54	10.26	# H
218	1	10.05	6.26	10.08	# H
219	1	2.17	11.22	7.16	# H
220	1	1.84	11.56	6.79	# H
221	1	0.87	6.5	5.23	# H
222	1	0.93	6.38	4.65	# H
223	1	10.4	2.49	7.27	# H
224	1	9.82	2.42	7.39	# H
225	1	11.11	10.13	1.91	# H
226	1	10.76	10.51	2.22	# H
227	1	3.45	1.3	4.99	# H
228	1	3.48	1.57	4.45	# H
